link,author,text
https://www.facebook.com/122191681760196542,Entry ID: KLAI01,Badar Ko Haat Ma Nariwol
https://www.facebook.com/122191681880196542,Entry ID: KLAI02,Nachna Najanne Aagan Tedo
https://www.facebook.com/122191681640196542,Entry ID: KLAI03,Chokta Khana Gako Budi Jhol Ma Dubera Mari
https://www.facebook.com/122191681466196542,Entry ID: KLAI04,Khane Mukh Lai Junga Le Chekdaina
https://www.facebook.com/122191681820196542,Entry ID: KLAI05,Kam Garne Kalu Makai Khane Bhalu
https://www.facebook.com/122191681892196542,Entry ID: KLAI06,"Asar Ma Mit Laaye Hila Ma Haat, Mangsir Ma Mit Laaye Fila Ma Haat"
https://www.facebook.com/122191682132196542,Entry ID: KLAI07,Naachna Jandaina Aangan Tedo
https://www.facebook.com/122191682168196542,Entry ID: KLAI08,Chokta Khana Gako Budi Jhol Ma Dubera Mari
https://www.facebook.com/122191681658196542,Entry ID: KLAI09,Hatti Ko Mukh Ma Jira
https://www.facebook.com/122191682180196542,Entry ID: KLAI10,Dekhneka Aankha Fute Sunneka Sahi
https://www.facebook.com/122191681748196542,Entry ID: KLAI11,"Ghaam Lageko Chha, Baadal Khulchha, Mehanat Garchha, Dukh Tarchha"
https://www.facebook.com/122191682336196542,Entry ID: KLAI12,Bahun Ko Tuppi Aerial Na Antenna
https://www.facebook.com/122191681574196542,Entry ID: KLAI13,Majhi Le Sallah Gardagarda Saat Gaun Dubyo
https://www.facebook.com/122191682318196542,Entry ID: KLAI14,Keta Keti Aaye Guleli Khelaye Matyangra Ko Satyanash
https://www.facebook.com/122191681778196542,Entry ID: KLAI14,Keta Keti Aaye Guleli Khelaye Matyangra Ko Satyanash
https://www.facebook.com/122191681496196542,Entry ID: KLAI15,Anka Ko Bhaari Bokne Bhanda Gyaan Ko Bhaari Boknu Ramro
https://www.facebook.com/122191681736196542,Entry ID: KLAI16,"Afno Aang Ko Bhaisi Nadekhne, Aru Ko Aang Ko Jumra Pani Dekhne"
https://www.facebook.com/122191682384196542,Entry ID: KLAI17,Bacha Le Dhada Kadha Katnu
https://www.facebook.com/122191681514196542,Entry ID: KLAI18,"Angreji Ko Kaida, Bhukne Lai Faida"
https://www.facebook.com/122191682444196542,Entry ID: KLAI19,Kalo Aakchyaar Bhaisi Barabar
https://www.facebook.com/122191682486196542,Entry ID: KLAI20,Oraalo Lageko Mrig Lai Bachha Le Pani Khedchha
https://www.facebook.com/122191682516196542,Entry ID: KLAI21,Jungle Ma Mangal
https://www.facebook.com/122191682552196542,Entry ID: KLAI22,Kaam Garne Kalu Makai Khane Bhalu
https://www.facebook.com/122191682624196542,Entry ID: KLAI23,Kaagle Kaan Lagyo Bhani Kaag Ko Pachi Daudne
https://www.facebook.com/122191681610196542,Entry ID: KLAI24,"Bolne Ko Pitho Bikchha, Na Bolne Ko Chamal Ni Bikdaina"
https://www.facebook.com/122191682648196542,Entry ID: KLAI25,"Pashupatima Gaai, Banaras Ma Sai"
https://www.facebook.com/122191682696196542,Entry ID: KLAI26,Ghar Ko Bagh Ban Ko Shyal
https://www.facebook.com/122191681670196542,Entry ID: KLAI27,"Arkaa Ko Bhar Bhok Bhokai Mar, Relying Solely On Others Leads To Ruin"
https://www.facebook.com/122191682084196542,Entry ID: KLAI28,Jun Jogi Aayepani Kaanai Chireko
https://www.facebook.com/122191682726196542,Entry ID: KLAI29,Badarko Haat Ma Nariwal
